cod_marca;cod_modelo;nome_modelo;ultimo_ano
12;276;PT Cruiser Limited 2.4 16V 143cv 4p;2009
12;5237;PT Cruiser Touring DEC. EDITION 2.4 16V;2010
12;277;Sebring LX 2.7 V6 24V 204cv;2003
12;278;Stratus LE 2.0;2001
12;279;Stratus LX 2.0 Mec;1998
12;280;Stratus LX 2.5 Aut;2000
12;281;Stratus LX 2.5 Conversível Aut;1999
12;4623;TOWN & COUNTRY Limited 3.8 /3.6 V6 Aut.;2015
12;5720;TOWN & COUNTRY Touring 3.6 V6 Aut.;2014
12;282;Vision 3.5 24V;1995
13;8045;AIRCROSS BUSINESS 1.6 Flex 16V 5p Mec.;2017
13;6418;AIRCROSS Exc. ATACA. 1.6 Flex 16V 5p Aut;2014
13;6419;AIRCROSS Exc. ATACA. 1.6 Flex 16V 5p Mec;2014
13;5609;AIRCROSS Exclusive 1.6 Flex 16V 5p Aut.;2015
13;5337;AIRCROSS Exclusive 1.6 Flex 16V 5p Mec.;2015
13;5338;AIRCROSS GL 1.6 Flex 16V 5p Mec.;2012
13;5610;AIRCROSS GLX 1.6 Flex 16V 5p Aut.;2014
13;5339;AIRCROSS GLX 1.6 Flex 16V 5p Mec.;2014
13;6420;AIRCROSS GLX ATACAMA 1.6 Flex 16V 5p Aut;2014
13;6421;AIRCROSS GLX ATACAMA 1.6 Flex 16V 5p Mec;2014
13;7903;AIRCROSS SALOMON 1.5 Flex 8V 5p Mec.;2017
13;7897;AIRCROSS SALOMON 1.6 Flex 16V 5p Aut.;2017
13;7090;AIRCROSS SALOMON EXCLUSIVE 1.6 Flex Aut.;2015
13;7091;AIRCROSS SALOMON EXCLUSIVE 1.6 Flex Mec.;2015
13;7092;AIRCROSS SALOMON TENDANCE 1.6 Flex Aut.;2015
13;7093;AIRCROSS SALOMON TENDANCE 1.6 Flex Mec.;2015
13;7425;AIRCROSS Start 1.5 Flex 8V 5p Mec.;2017
13;6770;AIRCROSS TENDANCE 1.6 Flex 16V 5p Aut.;2015
13;6771;AIRCROSS TENDANCE 1.6 Flex 16V 5p Mec.;2015
13;283;AX GTi;1995
13;285;Berlingo MultSpace GLX 1.6 16V 110cv 4p;2007
13;284;Berlingo MultSpace GLX 1.8i 3p;2001
13;286;Berlingo MultSpace GLX 1.8i 4p;2002
